Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
106	:	1625178476.476	    12.859	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 4 25
83	:	1625178468.680	    20.763	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 4 2
136	:	1625178486.712	     3.324	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 2 1
68	:	1625178463.671	    26.447	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 3 14
80	:	1625178467.636	    23.050	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 3 26
131	:	1625178484.853	     5.945	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 1 23
133	:	1625178485.532	     5.810	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 1 25
104	:	1625178475.803	    15.689	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 4 23
66	:	1625178463.245	    30.706	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 3 12
86	:	1625178469.600	    24.393	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 4 5
116	:	1625178479.736	    16.723	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 1 8
17	:	1625178453.522	    42.965	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 1 17
76	:	1625178466.332	    30.809	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 3 22
139	:	1625178487.579	     9.588	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 2 4
62	:	1625178462.449	    35.359	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 3 8
110	:	1625178477.787	    20.065	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 1 2
51	:	1625178460.265	    38.197	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 2 24
87	:	1625178470.048	    28.474	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 4 6
135	:	1625178486.225	    12.889	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 1 27
52	:	1625178460.464	    38.739	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 2 25
146	:	1625178490.038	     9.732	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 2 11
154	:	1625178496.464	     3.413	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 2 19
140	:	1625178488.028	    12.394	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 2 5
