Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
109	:	1625202067.984	     0.457	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 11 9
110	:	1625202068.182	     0.437	0	28	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 11 10
111	:	1625202068.380	     0.519	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 12 1
112	:	1625202068.578	     0.596	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 12 2
113	:	1625202068.776	     0.625	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 12 3
114	:	1625202068.974	     0.476	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 12 4
115	:	1625202069.172	     0.435	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 12 5
116	:	1625202069.370	     0.452	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 12 6
96	:	1625202065.408	     4.545	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 10 6
99	:	1625202066.002	     3.959	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 10 9
117	:	1625202069.568	     0.556	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 12 7
93	:	1625202064.814	     5.462	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 10 3
119	:	1625202069.962	     0.550	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 12 9
118	:	1625202069.767	     0.838	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 12 8
120	:	1625202070.160	     0.537	0	28	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 12 10
121	:	1625202070.359	     0.674	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 13 1
123	:	1625202070.755	     0.423	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 13 3
122	:	1625202070.557	     0.778	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 13 2
124	:	1625202070.953	     0.467	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 13 4
125	:	1625202071.151	     0.453	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 13 5
127	:	1625202071.547	     0.396	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 13 7
126	:	1625202071.349	     0.601	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 13 6
128	:	1625202071.745	     0.455	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 13 8
129	:	1625202071.942	     0.409	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 13 9
130	:	1625202072.140	     0.717	0	28	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 13 10
131	:	1625202072.338	     0.567	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 14 1
132	:	1625202072.536	     0.688	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 14 2
133	:	1625202072.734	     0.585	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 14 3
134	:	1625202072.932	     0.551	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 14 4
135	:	1625202073.130	     0.382	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 14 5
100	:	1625202066.200	     7.325	0	28	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 10 10
136	:	1625202073.328	     0.393	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 14 6
137	:	1625202073.526	     0.479	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 14 7
138	:	1625202073.721	     0.437	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 14 8
